Categoria_App,Copertina,Titolo,Autore,Editore,Anno,Descrizione,Link,Nuovo,Data_Aggiunta
Altri Editori,https://www.ibs.it/images/9791281989184_0_0_150_0_75.jpg,"Il culto della acque in Sardegna. Architetture, simbologia e miti dai templi a pozzo alle fonti-The cult of waters in Sardinia. Ediz. bilingue",Giulio Concu,Imago,2026,,https://www.ibs.it/culto-della-acque-in-sardegna-libro-giulio-concu/e/9791281989184,False,2026-03-18
Editori Selezionati,https://www.ibs.it/images/9788815395733_0_0_150_0_75.jpg,Il bambino dell'apocalisse. Vera storia del falso Anticristo di Babilonia. Falsi e impostori,Lucio Biasiori,Il Mulino,2026,"Sul tetto della sua casa ardeva un fuoco devastatore e al posto degli angeli volavano serpenti nel cielo scuro. Non vennero pastori ad adorarlo, ma gli abitanti di Babilonia. Il bambino non incarnava umiltà: nel suo corpo abitava la vana sapienza del mondo. Agli emissari del Gran Maestro, giunti a interrogarlo, parlò come un adulto... Prima che l'Europa fosse attraversata dal mito dei Templari, un altro ordine di monaci guerrieri aveva già alimentato per secoli le paure e le speranze collettive del continente: gli Ospitalieri di Rodi. Tutto ebbe inizio nel Trecento, con una lettera inviata dal loro Gran Maestro alle potenze europee per annunciare la nascita, a Babilonia, di un bambino misterioso: con ogni probabilità l'Anticristo, il nemico degli ultimi giorni. La notizia venne accolta con sgomento e curiosità, si propagò nello spazio e nel tempo, ritornando a più riprese, fino alla Rivoluzione francese. Ma chi era davvero quel bambino? Che cosa bisognava fare per fermarlo? Ed era poi una buona idea fermarlo? La storia di questa falsa notizia, capace di intercettare tanto i ritmi profondi dell'immaginario quanto quelli più convulsi delle congiunture politiche e religiose, rivela come miti e paure possano plasmare intere società e aiutarci a sapere di più sul loro conto.",https://www.ibs.it/bambino-dell-apocalisse-vera-storia-libro-lucio-biasiori/e/9788815395733,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9791281704336_0_0_150_0_75.jpg,I Fugger e la banca d'affari,N/D,Oaks Editrice,2026,,https://www.ibs.it/fugger-banca-d-affari-libro-vari/e/9791281704336,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9791254866375_0_0_150_0_75.jpg,Il paesaggio delle feste: gare remiere e giochi storici lungo la costa. Da Pisa a Livorno all'Argentario,N/D,Pacini Editore,2026,,https://www.ibs.it/paesaggio-delle-feste-gare-remiere-libro-vari/e/9791254866375,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9791256731176_0_0_150_0_75.jpg,Supereroi del calcio. Ediz. a colori. Con Poster,Mahamadou Traoré,L'Ippocampo,2026,,https://www.ibs.it/supereroi-del-calcio-ediz-a-libro-mahamadou-traore/e/9791256731176,False,2026-03-18
Altri Editori,https://www.ibs.it/images/9791256181933_0_0_150_0_75.jpg,I giochi tradizionali della Cina,Marino Carpignano,Coppola Editore,2026,,https://www.ibs.it/giochi-tradizionali-della-cina-libro-marino-carpignano/e/9791256181933,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9791256181919_0_0_150_0_75.jpg,I giochi dell'antica Corea,Marino Carpignano,Coppola Editore,2026,,https://www.ibs.it/giochi-dell-antica-corea-libro-marino-carpignano/e/9791256181919,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9791256181414_0_0_150_0_75.jpg,I giochi dell'antica Cina,Marino Carpignano,Coppola Editore,2026,,https://www.ibs.it/giochi-dell-antica-cina-libro-marino-carpignano/e/9791256181414,False,2026-03-25
Editori Selezionati,https://www.ibs.it/images/9791256147847_0_0_150_0_75.jpg,Le pazze. Un incontro con le madri di Plaza de Mayo,Daniela Padoan,Castelvecchi,2026,"Il 24 marzo 1976, in Argentina si insediò una giunta militare che attuò un piano sistematico di repressione, tortura e sparizione forzata di studenti e oppositori politici. A sfidare in solitudine una tra le dittature più crudeli del Novecento, furono le Madri dei trentamila desaparecidos: casalinghe cresciute nel rispetto delle autorità costituite, capaci di conquistare la piazza che diede loro il nome e di trasformare il dolore abissale per la perdita dei figli nel rifiuto di concedere ai militari il potere di averli uccisi. Oggi, davanti alla crisi delle democrazie e all’ascesa di leader autoritari che attingono lessico, agende e strategie da fascismi e populismi che credevamo relegati alla storia, le loro parole risuonano quanto mai attuali. All’erosione delle garanzie costituzionali, alla compressione dei diritti, all’intimidazione e all’autocensura – ci dicono – ci si abitua giorno dopo giorno, nell’indifferenza generale, fino a quando il prezzo per tornare indietro diventa enorme. È quando il potere ridefinisce la democrazia per legittimare la repressione, che occorre difendere solidarietà, uguaglianza, giustizia, libertà.",https://www.ibs.it/pazze-incontro-con-madri-di-libro-daniela-padoan/e/9791256147847,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9791255212508_0_0_150_0_75.jpg,Storia di Israele,Gérard Araud,LEG Edizioni,2026,,https://www.ibs.it/storia-di-israele-libro-gerard-araud/e/9791255212508,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9791254697627_0_0_150_0_75.jpg,Dal neofascismo alla destra nazionale. Il Movimento sociale italiano a Perugia (1947-1976),Luca La Rovere,Viella,2026,,https://www.ibs.it/dal-neofascismo-alla-destra-nazionale-libro-luca-la-rovere/e/9791254697627,False,2026-03-20
Editori Selezionati,https://www.ibs.it/images/9791221222142_0_0_150_0_75.jpg,"Storia del Napoli. Una squadra, una città, una fede. Nuova ediz.",Gigi Di Fiore,UTET,2026,"Il Napoli ha sicuramente un posto d’onore tra le tifoserie più passionali e pittoresche del mondo. Per rendersene conto, basta entrare allo stadio San Paolo durante una partita: il Napoli è diverso dalla maggior parte dei club professionistici. Squadra dalla chiara connotazione identitaria, l’amore con la città ha radici profonde che si diramano sotto il tessuto cittadino, dal Vomero, passando per i Quartieri spagnoli, giù fino al mare. Ed è proprio qui che inizia la storia del calcio a Napoli, quando sul finire dell’Ottocento un gruppo di marinai inglesi allestisce un campo vicino al porto, al Mandracchio. Dalla nascita del club nel 1926 è un susseguirsi di imprese gloriose e rovinose disfatte: un moto armonico del tutto simile a quello della città. Il Napoli, infatti, finisce per incarnare fino in fondo gli eccessi e le contraddizioni, sociologiche e culturali, di un’intera metropoli. Squadra popolare e interclassista, che accomuna nella “malattia” del tifo il sottoproletario, l’operaio, il professionista e l’uomo di cultura, diventa subito strumento e simbolo del riscatto rivendicato da una ex capitale mortificata nei suoi antichi splendori. Squadra condizionata dal contesto sociale urbano, anche negli aspetti deteriori, come ha dimostrato in alcuni momenti l’inquietante ombra dei clan della camorra. Con il consueto rigore, Gigi Di Fiore ricostruisce l’avventurosa Storia del Napoli. La storia dei suoi istrionici presidenti, da Achille Lauro ad Aurelio De Laurentiis, e soprattutto la storia dei suoi molti campioni, da Sallustro a Sívori, da Zoff a Krol, fino a Cavani, Lavezzi, Higuaín, e ai protagonisti dell’epica cavalcata del terzo scudetto come Osimhen e Kvaratskhelia. Su tutti, naturalmente, splende la stella Maradona, fuoriclasse controverso, protagonista della stagione più gloriosa della squadra, mito ed espressione congeniale di una città unica al mondo.",https://www.ibs.it/storia-del-napoli-squadra-citta-libro-gigi-di-fiore/e/9791221222142,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9788868013783_0_0_150_0_75.jpg,L'uomo crea se stesso. La nascita della civiltà umana,Vere Gordon Childe,Ghibli,2026,,https://www.ibs.it/uomo-crea-se-stesso-nascita-libro-vere-gordon-childe/e/9788868013783,False,2026-03-25
Editori Selezionati,https://www.ibs.it/images/9788865486689_0_0_150_0_75.jpg,TINA. La cultura britannica al tempo di Margaret Thatcher,Silvia Albertazzi,DeriveApprodi,2026,"TINA è l’acronimo del famigerato slogan di Margaret Thatcher: There Is No Alternative, ovvero non c’è alternativa al capitalismo. Questo libro lo mette radicalmente in discussione, indagando proprio le alternative con cui, negli anni Ottanta del Novecento, narrativa, cinema, musica e arti visive si oppongono alla colonizzazione capitalistica dell’immaginario. Mentre la politica propugna uno sfrenato individualismo, tante opere ripercorrono storie collettive, dando voce e volto a emarginati, migranti e gruppi delle minoranze. L’autrice si sofferma sulle canzoni di protesta, su film e romanzi che producono una satira della famiglia e dell’etica mercantilistica, sulle rappresentazioni fotografiche e i resoconti narrativi delle rivolte urbane, dei grandi scioperi e della vita nelle periferie. Completano il lavoro un’introduzione sulla situazione socio-culturale britannica degli anni Settanta e una conclusione sul ritorno degli anni Ottanta nella narrativa del XXI secolo. Attraverso l’analisi delle forme culturali di opposizione alla politica thatcheriana, il volume afferma che le alternative sono sopravvissute alla Lady di Ferro.",https://www.ibs.it/tina-cultura-britannica-al-tempo-libro-silvia-albertazzi/e/9788865486689,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9788836152889_0_0_150_0_75.jpg,Peschiera del Garda. Il Veneto delle palafitte,N/D,Gedi (Gruppo Editoriale),2026,,https://www.ibs.it/peschiera-del-garda-veneto-delle-libro-vari/e/9788836152889,False,2026-03-24
Altri Editori,https://www.ibs.it/images/9788875755034_0_0_150_0_75.jpg,L'istante e l’eternità. L'ingresso trionfale di Giovanni Antonio d’Eggenberg a Roma (1638),Stefan Albl,Artemide,2026,,https://www.ibs.it/istante-eternita-ingresso-trionfale-di-libro-stefan-albl/e/9788875755034,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9788867265404_0_0_150_0_75.jpg,10.2 Giorno del ricordo,"Onorio Bravi,Vittorio D'Augusta,Giovanni Fabbri",NFC Edizioni,2026,,https://www.ibs.it/102-giorno-del-ricordo-libro-vari/e/9788867265404,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9788849253931_0_0_150_0_75.jpg,I cugini presenti. I rapporti travagliati tra Italia e Francia da Vercingetorige a Macron,Cino Serrao,Gangemi Editore,2026,,https://www.ibs.it/cugini-presenti-rapporti-travagliati-tra-libro-cino-serrao/e/9788849253931,False,2026-03-20
Editori Selezionati,https://www.ibs.it/images/9788815395597_0_0_150_0_75.jpg,I maestri dell'Istituto. Vol. 1,N/D,Il Mulino,2026,"Questo volume raccoglie le relazioni presentate nell'anno accademico 2023-2024 all'Istituto italiano per gli studi storici, nell'ambito del ciclo di seminari «I maestri dell'Istituto». Protagonisti dei contributi sono Federico Chabod, Giovanni Pugliese Carratelli, Raffaele Mattioli e Giuseppe Galasso. I seminari a loro dedicati testimoniano l'idea che, come scriveva Labriola, la tradizione ci àncora alla storia, senza trasformarsi in nostalgia o rimpianto. Essi si collocano pertanto sulla soglia tra memoria e futuro: un'occasione per riflettere su ciò che l'Istituto è stato e su ciò che potrà e dovrà essere, in un tempo segnato da trasformazioni profonde. Grazie al contributo generoso di autorevoli studiosi, queste pagine offrono alle nuove generazioni di allievi strumenti per conoscere il nostro passato, mantenendo lo sguardo rivolto all'avvenire.",https://www.ibs.it/maestri-dell-istituto-vol-1-libro-vari/e/9788815395597,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9788876427824_0_0_150_0_75.jpg,L'età nuova. Umanesimo e Rinascimento,N/D,Scuola Normale Superiore,2026,,https://www.ibs.it/eta-nuova-umanesimo-rinascimento-libro-vari/e/9788876427824,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9791254622049_0_0_150_0_75.jpg,"Guida all'Europa megalitica. Alla riscoperta di Dolmen, Cromlech e Menhir",Andrea Anselmo,Passaggio al Bosco,2026,,https://www.ibs.it/guida-all-europa-megalitica-alla-libro-andrea-anselmo/e/9791254622049,False,2026-03-23
Altri Editori,https://www.ibs.it/images/9791257011604_0_0_150_0_75.jpg,L'Italia dell’Aventino. Politica e istituzioni nella secessione parlamentare del 1924,N/D,Viella,2026,,https://www.ibs.it/italia-dell-aventino-politica-istituzioni-libro-vari/e/9791257011604,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9791256260812_0_0_150_0_75.jpg,Antifascismo tra i giovani,Aldo Capitini,Edizioni La Meridiana,2026,,https://www.ibs.it/antifascismo-tra-giovani-libro-aldo-capitini/e/9791256260812,True,2026-03-26
Altri Editori,https://www.ibs.it/images/9788854942523_0_0_150_0_75.jpg,"Un dio di pietra. Archeologia, tradizioni e miti del megalitismo. Nuova ediz.",Massimo Centini,Yume,2026,,https://www.ibs.it/dio-di-pietra-archeologia-tradizioni-libro-massimo-centini/e/9788854942523,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9788849889031_0_0_150_0_75.jpg,"I fasci siciliani. Movimento, istituzioni, memoria",N/D,Rubbettino,2026,,https://www.ibs.it/fasci-siciliani-movimento-istituzioni-memoria-libro-vari/e/9788849889031,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9791282238014_0_0_150_0_75.jpg,La civiltà del Casternone. Emergenze insediative tra Preistoria e Medioevo,"Pier Luigi Castagno,Gian Paolo Spaliviero",Edizioni del Graffio,2026,,https://www.ibs.it/civilta-del-casternone-emergenze-insediative-libro-pier-luigi-castagno-gian-paolo-spaliviero/e/9791282238014,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9791282169431_0_0_150_0_75.jpg,1956. Racconto di un anno cruciale attraverso l'«Avanti!» (e non solo),Salvatore La Moglie,Edizioni Setteponti,2026,,https://www.ibs.it/1956-racconto-di-anno-cruciale-libro-salvatore-la-moglie/e/9791282169431,False,2026-03-20
Altri Editori,https://www.ibs.it/images/9791282027731_0_0_150_0_75.jpg,La crisi di fine secolo in Italia (1896-1900),Davide Codespoti,Laruffa,2026,,https://www.ibs.it/crisi-di-fine-secolo-in-libro-davide-codespoti/e/9791282027731,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9791280023674_0_0_150_0_75.jpg,Philobiblon. Sull'amore per i libri,Richard De Bury,Edizioni Sabinae,2026,,https://www.ibs.it/philobiblon-sull-amore-per-libri-libro-richard-de-bury/e/9791280023674,False,2026-03-24
Altri Editori,https://www.ibs.it/images/9791257010072_0_0_150_0_75.jpg,"Chronica fratrum minorum de observantia provinciae Bohemiae. Vol. 2: Early Modern Period, 1601–1749",N/D,Viella,2026,,https://www.ibs.it/chronica-fratrum-minorum-de-observantia-libro-vari/e/9791257010072,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9788884669377_0_0_150_0_75.jpg,Le acque tra Piave e Livenza,N/D,De Bastiani,2026,,https://www.ibs.it/acque-tra-piave-livenza-libro-vari/e/9788884669377,False,2026-03-24
Altri Editori,https://www.ibs.it/images/9788868577063_0_0_150_0_75.jpg,«Con la testa in mezzo all’erba». Note sui sessanta omegnesi caduti per la libertà. 1943-1945,"Filippo Colombara,Virginia Paravati",Interlinea,2026,,https://www.ibs.it/con-testa-in-mezzo-all-libro-filippo-colombara-virginia-paravati/e/9788868577063,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9788855203586_0_0_150_0_75.jpg,Il futuro di ieri. Maestre e maestri del Miranese si raccontano,N/D,Cierre edizioni,2026,,https://www.ibs.it/futuro-di-ieri-maestre-maestri-libro-vari/e/9788855203586,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9788855203562_0_0_150_0_75.jpg,Posina. La valle delle cento contrade. Storia di una montagna abitata dalla Repubblica di Venezia ad oggi,"Mauro Varotto,Andrea Savio,Roberto Pietro Lorenzato",Cierre edizioni,2026,,https://www.ibs.it/posina-valle-delle-cento-contrade-libro-vari/e/9788855203562,True,2026-03-26
Altri Editori,https://www.ibs.it/images/9788846774897_0_0_150_0_75.jpg,Dai Fondra ai Tambellini de Fondra. Storia di un casato dell’aristocrazia feudale,Romano Tambellini Barsanti,Edizioni ETS,2026,,https://www.ibs.it/dai-fondra-ai-tambellini-de-libro-romano-tambellini-barsanti/e/9788846774897,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9788846774880_0_0_150_0_75.jpg,"Inventario, Stime ed Esito delle Robe del Soppresso Convento di San Giovanni di Fivizzano 1786",N/D,Edizioni ETS,2026,,https://www.ibs.it/inventario-stime-ed-esito-delle-libro-vari/e/9788846774880,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9788846774644_0_0_150_0_75.jpg,«O miei compagni». Una testimonianza,Mario Lenzi,Edizioni ETS,2026,,https://www.ibs.it/o-miei-compagni-testimonianza-libro-mario-lenzi/e/9788846774644,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9788846774446_0_0_150_0_75.jpg,Map talks. Dalla cartografia storica all’intelligenza artificiale geospaziale,N/D,Edizioni ETS,2026,,https://www.ibs.it/map-talks-dalla-cartografia-storica-libro-vari/e/9788846774446,False,2026-03-25
Altri Editori,https://www.ibs.it/images/9788846774279_0_0_150_0_75.jpg,L'icona trovata a Genzano di Lucania,Michele Battaglino,Edizioni ETS,2026,,https://www.ibs.it/icona-trovata-a-genzano-di-libro-michele-battaglino/e/9788846774279,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9788833835334_0_0_150_0_75.jpg,Polvere e storia. Le rovine e le macerie di Milano nella Seconda guerra mondiale,Barbara Bracco,Biblion,2026,,https://www.ibs.it/polvere-storia-rovine-macerie-di-libro-barbara-bracco/e/9788833835334,True,2026-03-26
Altri Editori,https://www.ibs.it/images/9788833133256_0_0_150_0_75.jpg,«di ponte in ponte»-«von Brücke zu Brücke». Ricerche su Venezia e il paradigma dell’interdisciplinarità-Venedigforschung und das Paradigma der Interdisziplinarität. Ediz. bilingue,N/D,Viella,2026,,https://www.ibs.it/di-ponte-in-ponte-von-libro-vari/e/9788833133256,False,2026-03-21
Altri Editori,https://www.ibs.it/images/9788832834949_0_0_150_0_75.jpg,"«Una fedele economia». Comunità, mercanti e risorse forestali in Carnia fra Seicento e Settecento",Claudio Lorenzini,Forum Edizioni,2026,,https://www.ibs.it/fedele-economia-comunita-mercanti-risorse-libro-claudio-lorenzini/e/9788832834949,False,2026-03-24
